,id,created_at,updated_at,latitude,longitude,address,code,start_time,end_time,name,type,capacity,province_code,district_code,commune_code
0,0,,,21.02616843,105.8535759,"Số 75, Phố Đinh Tiên Hoàng, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",100000,0.0,43200.0,"Bưu điện Trung tâm 1, Quốc Tế",GD1,100000000.0,10,1100,11010
1,1,,,21.02616843,105.8535759,"Số 6, Phố đinh Lễ, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",100100,0.0,43200.0,"Bưu điện Trung tâm 1, Quốc Tế",GD3,100000000.0,10,1100,11010
2,2,,,21.037499,105.831233,"Số 281, Phố đội Cấn, Phường Liễu Giai, Ba đình, Hà Nội",100900,0.0,43200.0,"Bưu điện Trung tâm 1, Hà Nội KT1",GD3,100000000.0,10,1180,11940
3,3,,,21.031714606336884,105.83080786597472,"Số 175, Phố Nguyễn Thái Học, Phường điện Biên, Ba đình, Hà Nội",100901,0.0,43200.0,"CP16, [TW] GD cục BđTW Hà Nội",GD3,100000000.0,10,1180,11870
4,4,,,21.031714606336884,105.83080786597472,"Số 175, Phố Nguyễn Thái Học, Phường điện Biên, Ba đình, Hà Nội",100902,43200.0,86400.0,"CP16, [TW] KT cục BđTW Hà Nội",GD3,100000000.0,10,1180,11870
5,5,,,21.2798037,104.8804851,"Số Kho e8, Khu i Quốc Lộ 2, Xã Phú Minh, Sóc Sơn, Hà Nội",100911,43200.0,86400.0,"eMS Hà Nội, eMS Hỏa tốc nội tỉnh HN",GD3,100000000.0,10,1390,14070
6,6,,,21.030551,105.779953,"Số 5, đường Phạm Hùng, Phường Mỹ đình 2, Nam Từ Liêm, Hà Nội",100951,0.0,43200.0,"Văn phòng Tổng công ty, Ban DVBC -Test1",GD3,100000000.0,10,1290,12910
7,7,,,21.0262084,105.8537866," Phố Lý Thái Tổ, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",100954,0.0,43200.0,"Trung tâm PHBC, BC Ngoai Dich 2",GD3,100000000.0,10,1100,11010
8,8,,,21.0258648,105.8511355,"Số 15, Phố đinh Lễ, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",100993,0.0,43200.0,"Trung tâm Phân phối bán lẻ, PPBL Hà Nội",GD3,100000000.0,10,1100,11010
9,9,,,21.0781492,105.7841046,"Số 1, đường Tân Xuân, Xã Xuân đỉnh, Nam Từ Liêm, Hà Nội",101006,43200.0,86400.0,"eMS Hà Nội, [eMS] Giao dịch Tân Xuân",GD3,100000000.0,10,1290,12930
10,10,,,21.0269725,105.8523948,"Số 2, Phố Lê Thạch, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",110019,43200.0,86400.0,"Trung tâm Phân phối bán lẻ, PHBC Postmart Lê Thạch",GD3,100000000.0,10,1100,11010
11,11,,,21.0271339,105.8565379,"Số 783, đường Hồng Hà, Phường Chương Dương độ, Hoàn Kiếm, Hà Nội",110050,43200.0,86400.0,"eMS Hà Nội, Giao dịch eMS Hồng Hà",GD3,100000000.0,10,1100,11170
12,12,,,21.0247685,105.8534471,"Số 22, Phố Tràng Tiền, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",110070,43200.0,86400.0,"Bưu điện Trung tâm 1, KHL Tràng Tiền (tạm dừng hoạt động)",GD3,100000000.0,10,1100,11010
13,13,,,21.0271374,105.8513887,"Số 12, Phố Lê Thạch, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",110100,43200.0,86400.0,"Bưu điện Trung tâm 1, Chuyển Phát Nhanh",GD3,100000000.0,10,1100,11010
14,14,,,21.02616843,105.8535759,"Số 75, Phố đinh Tiên Hoàng, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",110123,0.0,43200.0,"Bưu điện Trung tâm 1, đường thư đại sứ - Phát nhanh",GD3,100000000.0,10,1100,11010
