,id,created_at,updated_at,available,average_fee_transport,average_gas_consume,average_velocity,fixed_cost,driver_name,gas_price,height,length,max_capacity,max_load_weight,max_velocity,min_velocity,name,type,width,dx_code,vehicle_cost,manager_node
0,1,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe vận tải,,,,100000
1,2,,,1,0.1,0.02,60,,,22000,,,[500.0],,90,40,,xe vận tải,,,,110180
2,3,,,1,0.1,0.02,60,,,22000,,,[2.0],,90,40,,xe vận tải,,,,111300
3,4,,,1,0.1,0.02,60,,,22000,,,[1650.0],,90,40,,xe vận tải,,,,118600
4,5,,,1,0.1,0.02,60,,,22000,,,[580.0],,90,40,,xe vận tải,,,,118757
5,6,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe vận tải,,,,123070
6,7,,,1,0.1,0.02,60,,,22000,,,[0.75],,90,40,,xe vận tải,,,,123070
7,8,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,123070
8,9,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,123070
9,10,,,1,0.1,0.02,60,,,22000,,,[0.949999988079071],,90,40,,xe vận tải,,,,123070
10,11,,,1,0.1,0.02,60,,,22000,,,[0.949999988079071],,90,40,,xe vận tải,,,,123070
11,12,,,1,0.1,0.02,60,,,22000,,,[0.949999988079071],,90,40,,xe vận tải,,,,123070
12,13,,,1,0.1,0.02,60,,,22000,,,[0.589999973773956],,90,40,,xe vận tải,,,,123070
13,14,,,1,0.1,0.02,60,,,22000,,,[1.79999995231628],,90,40,,xe vận tải,,,,123070
14,15,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe vận tải,,,,123070
15,16,,,1,0.1,0.02,60,,,22000,,,[0.589999973773956],,90,40,,xe vận tải,,,,123070
16,17,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe vận tải,,,,123070
17,18,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe vận tải,,,,123070
18,19,,,1,0.1,0.02,60,,,22000,,,[0.589999973773956],,90,40,,xe vận tải,,,,123070
19,20,,,1,0.1,0.02,60,,,22000,,,[0.589999973773956],,90,40,,xe vận tải,,,,123070
20,21,,,1,0.1,0.02,60,,,22000,,,[580.0],,90,40,,xe vận tải,,,,127000
21,22,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe vận tải,,,,136000
22,23,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,136000
23,24,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe vận tải,,,,136000
24,25,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,162090
25,26,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,170000
26,27,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe tải (loại 3 chỗ),,,,180000
27,28,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe tải (loại 3 chỗ),,,,180000
28,29,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe tải (loại 3 chỗ),,,,180000
29,30,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe tải (loại 3 chỗ),,,,180000
30,31,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe tải (loại 3 chỗ),,,,180000
31,32,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe tải (loại 3 chỗ),,,,200000
32,33,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe tải (loại 3 chỗ),,,,200000
33,34,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe tải (loại 3 chỗ),,,,203200
34,35,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe tải (loại 3 chỗ),,,,203200
35,36,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe tải (loại 3 chỗ),,,,205300
36,37,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe tải (loại 3 chỗ),,,,205300
37,38,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe tải (loại 3 chỗ),,,,205600
38,39,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe tải (loại 3 chỗ),,,,205600
39,40,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe tải (loại 3 chỗ),,,,206500
